1,1401,510.00,169.00,9.00,22.00,1,-1,-1,-1
1,1400,519.00,171.00,11.00,25.00,1,-1,-1,-1
1,1399,792.00,170.00,15.00,40.00,1,-1,-1,-1
1,1398,438.00,170.00,9.00,24.00,1,-1,-1,-1
1,1397,607.00,171.00,7.00,13.00,1,-1,-1,-1
1,1396,678.00,172.00,9.00,20.00,1,-1,-1,-1
1,1395,709.00,174.00,15.00,33.00,1,-1,-1,-1
1,1394,747.00,167.00,15.00,43.00,1,-1,-1,-1
1,1393,763.00,171.00,16.00,40.00,1,-1,-1,-1
2,1406,495.00,171.00,9.00,18.00,1,-1,-1,-1
2,1405,443.00,175.00,6.00,14.00,1,-1,-1,-1
2,1404,783.00,188.00,11.00,18.00,1,-1,-1,-1
2,1403,742.00,169.00,8.00,24.00,1,-1,-1,-1
2,1402,732.00,175.00,10.00,24.00,1,-1,-1,-1
2,1401,503.00,169.00,11.00,25.00,1,-1,-1,-1
2,1400,516.00,170.00,13.00,27.00,1,-1,-1,-1
2,1398,431.00,172.00,11.00,24.00,1,-1,-1,-1
2,1397,604.00,171.00,6.00,14.00,1,-1,-1,-1
2,1396,677.00,172.00,7.00,20.00,1,-1,-1,-1
2,1395,709.00,174.00,15.00,32.00,1,-1,-1,-1
2,1394,748.00,168.00,16.00,43.00,1,-1,-1,-1
2,1393,764.00,172.00,15.00,39.00,1,-1,-1,-1
3,1410,522.00,170.00,7.00,22.00,1,-1,-1,-1
3,1409,612.00,170.00,6.00,11.00,1,-1,-1,-1
3,1408,575.00,170.00,8.00,17.00,1,-1,-1,-1
3,1407,699.00,173.00,8.00,26.00,1,-1,-1,-1
3,1403,741.00,171.00,9.00,22.00,1,-1,-1,-1
3,1401,500.00,171.00,9.00,20.00,1,-1,-1,-1
3,1400,512.00,170.00,13.00,27.00,1,-1,-1,-1
3,1399,795.00,173.00,20.00,38.00,1,-1,-1,-1
3,1395,708.00,174.00,15.00,33.00,1,-1,-1,-1
3,1394,748.00,170.00,18.00,42.00,1,-1,-1,-1
3,1393,766.00,170.00,16.00,41.00,1,-1,-1,-1
4,1401,495.00,168.00,9.00,24.00,1,-1,-1,-1
4,1400,507.00,170.00,12.00,26.00,1,-1,-1,-1
4,1395,706.00,174.00,17.00,35.00,1,-1,-1,-1
4,1394,749.00,168.00,18.00,44.00,1,-1,-1,-1
4,1393,765.00,169.00,18.00,43.00,1,-1,-1,-1
5,1403,740.00,167.00,11.00,27.00,1,-1,-1,-1
5,1401,491.00,168.00,8.00,23.00,1,-1,-1,-1
5,1400,502.00,168.00,14.00,27.00,1,-1,-1,-1
5,1394,751.00,167.00,17.00,46.00,1,-1,-1,-1
5,1393,768.00,167.00,20.00,47.00,1,-1,-1,-1
6,1403,739.00,167.00,10.00,26.00,1,-1,-1,-1
6,1401,485.00,166.00,10.00,27.00,1,-1,-1,-1
6,1400,498.00,169.00,14.00,28.00,1,-1,-1,-1
6,1394,752.00,166.00,18.00,49.00,1,-1,-1,-1
6,1393,770.00,167.00,19.00,48.00,1,-1,-1,-1
7,1403,738.00,166.00,12.00,27.00,1,-1,-1,-1
7,1401,479.00,166.00,10.00,28.00,1,-1,-1,-1
7,1400,494.00,168.00,12.00,29.00,1,-1,-1,-1
7,1394,753.00,165.00,20.00,50.00,1,-1,-1,-1
7,1393,774.00,169.00,18.00,46.00,1,-1,-1,-1
8,1403,738.00,166.00,10.00,27.00,1,-1,-1,-1
8,1402,729.00,165.00,10.00,33.00,1,-1,-1,-1
8,1401,473.00,167.00,11.00,27.00,1,-1,-1,-1
8,1400,491.00,168.00,13.00,31.00,1,-1,-1,-1
8,1396,666.00,167.00,8.00,24.00,1,-1,-1,-1
8,1394,756.00,165.00,21.00,51.00,1,-1,-1,-1
8,1393,778.00,169.00,18.00,48.00,1,-1,-1,-1
9,1403,738.00,169.00,10.00,24.00,1,-1,-1,-1
9,1402,730.00,169.00,9.00,29.00,1,-1,-1,-1
9,1401,468.00,167.00,12.00,27.00,1,-1,-1,-1
9,1400,486.00,170.00,12.00,29.00,1,-1,-1,-1
9,1396,664.00,171.00,7.00,20.00,1,-1,-1,-1
9,1394,758.00,167.00,20.00,51.00,1,-1,-1,-1
9,1393,782.00,167.00,21.00,50.00,1,-1,-1,-1
10,1403,738.00,166.00,10.00,26.00,1,-1,-1,-1
10,1402,725.00,167.00,11.00,31.00,1,-1,-1,-1
10,1401,462.00,167.00,13.00,26.00,1,-1,-1,-1
10,1400,483.00,169.00,10.00,30.00,1,-1,-1,-1
10,1396,664.00,168.00,7.00,21.00,1,-1,-1,-1
10,1394,762.00,166.00,22.00,51.00,1,-1,-1,-1
10,1393,786.00,165.00,21.00,53.00,1,-1,-1,-1
11,1403,738.00,165.00,10.00,25.00,1,-1,-1,-1
11,1402,725.00,165.00,13.00,33.00,1,-1,-1,-1
11,1401,458.00,167.00,10.00,26.00,1,-1,-1,-1
11,1400,480.00,168.00,12.00,33.00,1,-1,-1,-1
11,1396,663.00,166.00,8.00,22.00,1,-1,-1,-1
11,1394,767.00,162.00,21.00,56.00,1,-1,-1,-1
11,1393,791.00,164.00,23.00,55.00,1,-1,-1,-1
12,1425,568.00,166.00,9.00,18.00,1,-1,-1,-1
12,1403,740.00,164.00,10.00,26.00,1,-1,-1,-1
12,1402,727.00,168.00,13.00,33.00,1,-1,-1,-1
12,1401,454.00,166.00,10.00,29.00,1,-1,-1,-1
12,1400,477.00,170.00,11.00,29.00,1,-1,-1,-1
12,1396,663.00,166.00,8.00,22.00,1,-1,-1,-1
12,1394,771.00,158.00,25.00,62.00,1,-1,-1,-1
12,1393,799.00,164.00,21.00,55.00,1,-1,-1,-1
13,1425,567.00,167.00,7.00,16.00,1,-1,-1,-1
13,1403,741.00,165.00,11.00,27.00,1,-1,-1,-1
13,1401,449.00,166.00,12.00,29.00,1,-1,-1,-1
13,1400,475.00,171.00,11.00,28.00,1,-1,-1,-1
13,1394,777.00,156.00,28.00,66.00,1,-1,-1,-1
13,1393,805.00,164.00,25.00,58.00,1,-1,-1,-1
14,1403,745.00,167.00,9.00,26.00,1,-1,-1,-1
14,1401,446.00,164.00,11.00,32.00,1,-1,-1,-1
14,1400,471.00,169.00,14.00,32.00,1,-1,-1,-1
14,1394,782.00,159.00,28.00,65.00,1,-1,-1,-1
14,1393,813.00,163.00,25.00,62.00,1,-1,-1,-1
15,1432,168.00,168.00,26.00,58.00,1,-1,-1,-1
15,1403,749.00,170.00,7.00,25.00,1,-1,-1,-1
15,1401,443.00,169.00,11.00,29.00,1,-1,-1,-1
15,1400,470.00,169.00,13.00,36.00,1,-1,-1,-1
15,1394,789.00,160.00,31.00,70.00,1,-1,-1,-1
15,1393,823.00,165.00,24.00,63.00,1,-1,-1,-1
16,1432,156.00,173.00,26.00,57.00,1,-1,-1,-1
16,1403,751.00,170.00,10.00,24.00,1,-1,-1,-1
16,1401,439.00,169.00,12.00,33.00,1,-1,-1,-1
16,1400,466.00,175.00,14.00,33.00,1,-1,-1,-1
16,1396,668.00,172.00,7.00,21.00,1,-1,-1,-1
16,1394,799.00,167.00,31.00,66.00,1,-1,-1,-1
17,1432,140.00,171.00,28.00,61.00,1,-1,-1,-1
